,6200,6202,6204,1070,204,6206,1000,852,208,6210,1002,872,212,6214,1006,808,6216,1074,6222,6226
Mount Olive,,,,5.15,,,,6.07,,,,6.56,,,,,,8.35,,
Netcong,,,,5.20,,,,6.12,,,,7.01,,,,,,8.40,,
Lake Hopatcong,,,,5.25,,,6.06,6.17,,,6.42,7.05,,,7.19,7.41,,8.45,,
Mount Arlington,,,,5.29,,,6.10,6.22,,,6.46,7.09,,,7.23,7.45,,8.49,,
DOVER,,,,5.38,,,6.18,6.30,,,6.54,7.17,,,7.31,7.54,,8.58,,
Denville,,,,5.44,,,6.25,6.37,,,7.01,7.24,,,7.38,8.00,,9.04,,
Mountain Lakes,,,,5.48,,,6.30,,,,7.05,,,,7.42,,,9.09,,
Boonton,,,,5.52,,,6.33,,,,7.09,,,,7.46,,,9.12,,
Towaco,,,,5.58,,,6.39,,,,7.15,,,,7.52,,,9.19,,
Lincoln Park,,,,6.03,,,6.44,,,,7.20,,,,7.56,,,9.23,,
Mountain View,,,,6.07,,,6.49,,,,7.24,,,,8.01,,,9.28,,
Wayne/Route 23,,,,6.10,,,6.52,,,,7.27,,,,8.04,,,9.31,,
Little Falls,,,,6.14,,,6.56,,,,7.31,,,,8.08,,,9.34,,
MONTCLAIR STATE UNIV.,4.40,5.10,5.48,6.20,6.25,6.41,7.03,,7.10,7.17,7.38,,7.50,8.03,8.14,,8.55,9.41,10.02,10.51
Montclair Heights,4.43,5.14,5.52,,6.28,6.44,,,7.13,7.20,,,7.53,8.07,8.17,,8.58,9.44,10.06,10.53
Mountain Avenue,,5.16,5.54,6.24,,6.46,,,7.16,7.23,,,7.55,8.09,,,9.00,9.46,10.08,10.56
Upper Montclair,4.46,5.18,5.56,,6.31,6.48,,,7.18,7.25,,,7.57,8.12,8.21,,9.03,9.48,10.10,10.58
Watchung Avenue,4.48,5.21,5.58,6.27,6.33,6.51,7.08,,7.21,7.28,7.44,,8.00,8.14,8.23,,9.05,9.51,10.13,11.01
Walnut Street,4.51,5.24,6.01,,6.36,6.54,7.11,,7.24,7.31,,,8.03,8.17,8.26,,9.08,9.54,10.16,11.04
Bay Street (Montclair),4.54,5.27,6.04,6.32,6.39,6.58,7.15,,7.27,7.35,7.49,,8.06,8.21,8.30,,9.12,9.57,10.19,11.07
Glen Ridge,4.58,5.30,6.07,,6.42,7.01,,,7.30,7.39,,,8.09,8.24,8.33,,9.15,9.59,10.22,11.10
Bloomfield,5.00,5.33,6.10,,6.45,7.04,,,7.33,7.43,,,8.12,8.27,8.36,,9.17,10.02,10.25,11.13
Watsessing Avenue,5.03,5.35,6.12,,6.47,7.06,,,7.36,7.46,,,8.14,8.30,,,9.19,10.05,10.27,11.15
Newark Broad Street,5.09,5.42,6.21,6.41,6.54,7.13,7.25,7.32,7.44,,8.00,8.18,8.21,8.37,8.44,9.02,9.26,10.12,10.34,11.23
HOBOKEN,5.47,6.11,,7.00,7.10,7.37,7.43,7.50,8.00,,8.17,8.34,8.37,,9.02,9.20,9.46,10.30,11.06,12.05
Secaucus Junction,,5.51,6.31,,,,,,,,,,,,,,9.38,,10.44,11.35
NEW YORK,5.30,6.04,6.44,,7.19,7.35,8.04,,,8.20,8.29,,,8.59,9.12,,9.51,10.40,10.56,11.50
