,3712,3504,3926,3828,3714,3506,3930,3830,3716,3228,3932,3718,3720,3934,3508,3936,3722,3234,3834,3236,3836,3838,3240,3840
Hamilton,,,7.39,7.29,,,8.13,7.53,,,8.33,,,9.01,,9.27,,,9.54,,10.19,10.47,,11.34
Princeton Junction,,,7.47,7.36,,,8.20,8.00,,,8.41,,,9.08,,9.35,,,10.01,,10.26,10.54,,11.41
Jersey Avenue,7.38,,,,7.55,,,,8.19,,,8.40,9.02,,,,9.31,,,,,,,
New Brunswick,7.44,,,7.54,8.03,,,8.15,8.27,,8.55,8.46,9.08,9.22,,9.49,9.36,,10.15,,10.40,11.09,,11.56
Edison,7.49,,,7.59,8.08,,,8.20,8.32,,,8.51,9.12,,,,9.40,,10.20,,10.44,11.14,,12.01
Metuchen,7.54,,,8.04,8.14,,,8.25,8.37,,,8.56,9.17,,,,9.45,,10.25,,10.49,11.19,,12.06
Metropark,7.59,,,8.09,8.19,,,8.30,8.42,,,9.02,9.21,,,,9.50,,10.29,,10.54,11.24,,12.11
Rahway,,8.01,,,,8.23,,8.36,,8.53,,,,,9.34,,9.56,10.10,10.36,10.50,11.01,11.31,11.50,12.18
Linden,,8.06,,,,8.27,,8.40,,8.57,,,,,9.38,,10.00,10.14,,10.54,11.05,11.36,11.54,12.22
Elizabeth,,8.12,,,,8.35,,8.46,,9.04,,,,,9.45,,10.07,10.21,,11.01,11.11,11.43,12.00,12.29
North Elizabeth,,8.15,,,,8.38,,8.49,,9.07,,,,,9.48,,,10.24,,,11.14,,12.03,
Newark Int'l. Airport,,,,8.24,,8.41,,8.53,8.57,9.11,,9.16,,9.45,9.52,,10.12,10.28,10.47,11.06,11.18,11.48,12.07,12.34
NEWARK PENN STATION,8.17,8.23,8.25,8.31,8.38,8.48,8.56,8.59,9.03,9.17,9.19,9.22,9.39,9.53,9.58,10.14,10.18,10.34,10.53,11.12,11.24,11.55,12.14,12.40
Secaucus Junction,8.24,,8.33,8.38,8.47,8.55,9.03,9.06,9.11,9.24,9.26,9.29,9.46,10.00,10.05,,10.25,10.41,11.01,11.20,11.31,12.02,12.21,12.47
NEW YORK,8.37,8.43,8.49,8.51,9.01,9.08,9.16,9.19,9.24,9.37,9.40,9.44,9.59,10.13,10.18,10.33,10.38,10.54,11.16,11.34,11.44,12.17,12.34,1.01
