,3943,3723,3861,3947,3165,3949,3511,3725,3951,3867,3513,3953,3727,3871,3271,3957,3959,3873,3515,3175,3961,3875,3279
Secaucus Junction,16.23,16.37,16.43,16.51,16.59,,17.15,17.18,17.22,17.35,17.39,17.50,17.53,18.00,18.05,,18.23,,18.27,18.46,,18.56,19.15
NEWARK PENN STATION,16.33,16.47,16.52,17.01,17.09,17.19,17.25,17.28,17.32,17.46,17.50,18.00,18.02,18.10,18.17,18.19,18.34,18.32,18.39,18.57,18.55,19.05,19.24
Newark Int'l. Airport,,16.53,16.58,,17.16,,,17.35,,17.52,17.56,,,,18.24,,,18.38,18.45,19.03,,19.11,19.30
North Elizabeth,,,17.02,,,,17.31,,,,17.59,,,,18.27,,,,18.48,,,19.14,
Elizabeth,,,17.05,,,,17.34,,,,18.02,,,,18.30,,,,18.51,,,19.18,
Linden,,,17.10,,,,17.40,,,,18.08,,,,18.36,,,,18.58,,,19.23,
Rahway,,,17.14,,,,17.44,,,18.02,18.12,,,18.24,18.40,,,18.49,19.03,,,19.27,19.40
Metropark,,17.08,17.20,,17.31,,,17.49,,18.09,,,18.20,18.30,,,,18.55,,19.17,,19.33,
Metuchen,,17.14,17.25,,17.36,,,17.54,,18.14,,,18.25,18.35,,,,19.00,,19.22,,19.38,
Edison,,17.19,17.30,,17.41,,,17.59,,18.20,,,18.30,18.40,,,,19.06,,19.27,,19.43,
New Brunswick,,17.24,17.34,,17.46,,,18.04,,18.25,,,18.35,18.45,,,18.58,19.10,,19.32,19.18,19.48,
Jersey Avenue,,17.30,,,17.53,,,18.10,,18.28,,,18.42,18.49,,,19.03,19.15,,19.36,19.23,19.52,
Princeton Junction,17.07,,17.49,17.35,,17.55,,,18.06,18.42,,18.33,,19.03,,18.52,19.17,19.27,,,19.36,20.05,
Hamilton,17.14,,17.56,17.43,,18.03,,,18.13,18.50,,18.40,,19.10,,19.01,19.25,19.34,,,19.44,20.12,
TRENTON,17.26,,18.09,17.55,,18.15,,,18.26,19.01,,18.51,,19.26,,19.13,19.37,19.46,,,19.56,20.24,
