,3806,3808,3204,3700,3910,3810,3208,3702,3704,3812,3210,3914,3814,3706,3918,3920,3818,3708,3922,3124,3502,3710,3924,3126
Hamilton,3.53,4.23,,,5.13,4.57,,,,5.40,,6.11,5.51,,6.30,6.44,6.17,,7.00,,,,7.18,
Princeton Junction,3.59,4.30,,,5.20,5.04,,,,5.47,,6.19,5.58,,6.37,6.51,6.25,,7.07,,,,7.26,
Jersey Avenue,,,,5.00,,,,5.23,5.45,,,,,6.21,,,,6.52,,,,7.15,,
New Brunswick,4.13,4.44,,5.05,,5.18,,5.30,5.50,6.02,,,6.13,6.29,,,6.40,6.59,,7.06,,7.22,,7.35
Edison,4.17,4.48,,5.09,,5.23,,5.35,5.55,6.06,,,6.17,6.33,,,6.45,7.04,,7.11,,7.27,,7.40
Metuchen,4.22,4.53,,5.14,,5.28,,5.40,6.00,6.11,,,6.22,6.39,,,6.50,7.10,,7.17,,7.33,,7.45
Metropark,4.26,4.58,,5.19,,5.32,,5.44,6.04,6.16,,,6.27,6.44,,,6.55,7.15,,7.22,,7.39,,7.51
Rahway,4.33,,5.20,5.25,,,5.44,5.51,6.11,,6.26,,6.33,,,,7.02,,,,7.23,,,
Linden,4.37,,,5.29,,,,5.55,6.15,,,,6.37,,,,7.07,,,,7.28,,,
Elizabeth,4.43,,,5.35,,,,6.01,6.21,,,,6.44,,,,7.14,,,,7.37,,,
North Elizabeth,4.46,,,5.38,,,,6.04,6.24,,,,6.47,,,,7.17,,,,7.41,,,
Newark Int'l. Airport,4.50,5.12,5.30,5.41,,5.46,,6.08,,6.31,,,6.50,,,,7.21,,,7.36,7.44,,,
NEWARK PENN STATION,4.56,5.19,5.37,5.47,5.54,5.52,5.58,6.15,6.32,6.37,6.43,6.52,6.56,7.03,7.12,7.26,7.28,7.34,7.42,7.44,7.52,7.58,8.02,8.10
Secaucus Junction,5.03,5.27,5.44,5.54,,6.00,6.06,6.23,,6.44,6.50,6.59,7.03,7.10,7.19,7.33,7.36,7.41,,7.53,7.59,,8.10,8.18
NEW YORK,5.21,5.40,5.58,6.07,6.12,6.14,6.19,6.35,6.50,6.57,7.03,7.12,7.16,7.23,7.32,7.46,7.50,7.54,8.00,8.06,8.14,8.16,8.23,8.31
