,1100,42,1102,1146,44,1148,1202,1150,46,1204,1152,48,50,1252,1206,1154,52,1254,1208,1156
Otisville,,4.04,,,4.48,,,,5.19,,,5.49,6.08,,,,6.23,,,
"Middletown, NY",,4.15,,,5.00,,,,5.30,,,6.01,6.19,,,,6.34,,,
Campbell Hall,,4.22,,,5.07,,,,5.38,,,6.08,6.27,,,,6.42,,,
Salisbury Mills,,4.35,,,5.19,,,,5.50,,,6.21,6.39,,,,6.55,,,
Harriman,,4.50,,,5.33,,,,6.05,,,6.36,6.54,,,,7.10,,,
Tuxedo,,5.00,,,5.44,,,,6.15,,,6.46,,,,,7.20,,,
Sloatsburg,,5.05,,,5.49,,,,6.20,,,6.51,,,,,7.25,,,
SUFFERN,4.50,5.13,5.18,5.27,5.58,5.54,,6.20,6.28,,6.35,6.59,,,,7.09,7.33,,,7.41
Mahwah,4.53,,5.21,5.30,,5.57,,6.23,,,6.38,,,,,7.12,7.36,,,7.44
Ramsey Route 17,4.56,,5.24,5.33,6.03,,,6.27,6.32,,6.42,7.03,,,,7.16,7.40,,,7.48
Ramsey,4.59,,5.27,5.36,,6.02,,6.30,,,6.46,,,,,7.20,7.44,,,7.51
Allendale,5.02,,5.30,5.40,,6.06,,6.34,,,6.50,,,,,7.24,,,,7.55
Waldwick,5.05,,5.33,5.43,,6.09,6.20,6.38,,6.48,6.53,,,7.10,7.21,7.27,,7.39,7.51,7.59
Ho-Ho-Kus,5.08,,5.36,5.46,,6.12,6.23,6.41,,6.51,6.57,,,7.13,7.24,7.31,,7.42,7.54,8.02
Ridgewood,5.11,5.25,5.39,5.49,,6.16,6.26,6.44,,6.54,7.01,,,7.17,7.27,7.35,,7.46,7.57,8.05
Glen Rock - Boro Hall,,5.29,,5.53,,6.19,,6.48,,,7.04,,,7.21,,7.39,,,,8.09
Radburn,,5.32,,5.57,,6.23,,6.52,,,7.09,,,7.25,,7.43,,7.52,,8.14
Broadway,,5.35,,6.00,,6.26,,6.56,,,,,,7.29,,,,7.56,,
Plauderville,,5.40,,6.05,,6.31,,7.00,,,,,,7.34,,,,8.01,,
Garfield,,5.43,,,,6.35,,,,,,,,7.38,,,,,,
Wesmont,,5.46,,6.09,,6.38,,7.05,,,,,,7.41,,,,8.05,,
Rutherford,,5.51,,6.14,,6.43,,7.10,,,,,,7.46,,,,8.11,,
Glen Rock - Main Line,5.14,,5.42,,,,6.30,,,6.58,,,,,7.31,,,,8.01,
Hawthorne,5.17,,5.45,,,,6.34,,,7.02,,,,,7.35,,,,8.05,
Paterson,5.21,,5.49,,,,6.38,,,7.06,,,,,7.39,,,,8.09,
Clifton,5.28,,5.56,,,,6.45,,,7.13,,,,,7.46,,,,8.16,
Passaic,5.31,,5.59,,,,6.49,,,7.17,,,,,7.50,,,,8.20,
Delawanna,5.35,,6.03,,,,6.53,,,7.21,,,,,7.54,,,,8.24,
Lyndhurst,5.38,,6.06,,,,6.57,,,7.25,,,,,7.59,,,,8.27,
Kingsland,5.41,,6.09,,,,6.59,,,7.29,,,,,8.02,,,,8.30,
Secaucus Junction,5.48,5.59,6.16,6.23,6.33,6.52,7.07,7.20,7.01,7.38,7.28,7.33,7.46,7.56,8.10,8.02,8.14,8.21,8.38,8.33
NEW YORK,6.07,6.19,6.35,6.44,6.57,7.12,7.32,7.42,7.21,8.02,7.46,7.54,8.06,8.18,8.31,8.23,8.37,8.41,9.01,8.51
HOBOKEN,6.00,6.11,6.28,6.35,6.45,7.04,7.19,7.32,7.13,7.50,7.40,7.45,7.58,8.08,8.22,8.14,8.26,8.33,8.50,8.45
