,4613,4615,4617,4623,4627,4631,4633,4635,4639,4641,4643,4651
Pennsauken,6.32,8.04,9.35,11.27,13.19,15.10,17.02,18.14,19.24,21.22,23.16,1.11
Cherry Hill,6.39,8.11,9.42,11.34,13.26,15.17,17.09,18.21,19.31,21.29,23.23,1.18
Lindenwold,6.52,8.23,9.54,11.46,13.38,15.30,17.22,18.33,19.43,21.41,23.35,1.30
Atco,6.59,8.30,10.02,11.54,13.45,15.37,17.29,18.40,19.50,21.48,23.45,1.37
Hammonton,7.12,8.43,10.15,12.07,13.58,15.50,17.42,18.53,20.03,22.02,23.58,1.50
Egg Harbor City,7.23,8.54,10.25,12.17,14.09,16.00,17.52,19.04,20.14,22.12,12.09,2.01
Absecon,7.33,9.04,10.36,12.28,14.19,16.11,18.03,19.17,20.24,22.22,12.19,2.11
ATLANTIC CITY,7.46,9.17,10.49,12.41,14.32,16.24,18.16,19.31,20.37,22.36,12.32,2.24
