,4608,4610,4612,4616,4620,4624,4628,4630,4632,4634,4638,4642
Absecon,4.22,5.49,7.00,8.31,10.23,12.15,14.06,15.58,17.10,19.05,21.04,23.02
Egg Harbor City,4.32,5.59,7.10,8.41,10.36,12.28,14.19,16.11,17.20,19.15,21.14,23.12
Hammonton,4.43,6.10,7.24,8.55,10.47,12.39,14.30,16.22,17.31,19.26,21.25,23.23
Atco,4.56,6.23,7.37,9.08,11.00,12.52,14.43,16.35,17.47,19.40,21.38,23.36
Lindenwold,5.03,6.30,7.44,9.16,11.07,12.59,14.51,16.42,17.54,19.50,21.48,23.43
Cherry Hill,5.15,6.44,7.57,9.28,11.20,13.11,15.03,16.55,18.07,20.02,22.00,23.56
Pennsauken,5.22,6.51,8.04,9.35,11.27,13.18,15.10,17.02,18.14,20.09,22.07,12.03
PHILADELPHIA 30TH ST.,5.47,7.15,8.28,10.00,11.52,13.43,15.35,17.27,18.39,20.34,22.32,12.27
