,6200,6602,600,400,6202,6604,402,6204,6606,1070,608,404,204,6610,6406,6206,6612,308,408,1000,852
Mount Olive,,,,,,,,,,5.15,,,,,,,,,,,6.07
Netcong,,,,,,,,,,5.20,,,,,,,,,,,6.12
Lake Hopatcong,,,,,,,,,,5.25,,,,,,,,,,6.06,6.17
Mount Arlington,,,,,,,,,,5.29,,,,,,,,,,6.10,6.22
DOVER,,4.10,4.28,,,5.01,,,5.32,5.38,5.44,,,5.53,,,6.13,,,6.18,6.30
Denville,,4.17,4.35,,,5.08,,,5.40,5.44,5.50,,,6.01,,,6.21,,,6.25,6.37
Mount Tabor,,,4.38,,,5.10,,,,,,,,6.04,,,,,,,6.39
Morris Plains,,4.23,4.44,,,5.16,,,5.47,,5.57,,,6.10,,,6.28,,,,6.46
Morristown,,4.27,4.48,,,5.20,,,5.51,,6.01,,,6.15,,,6.33,,,,6.50
Convent,,4.31,4.52,,,5.24,,,5.55,,6.04,,,6.19,,,6.37,,,,6.54
Madison,,4.35,4.56,,,5.28,,,5.59,,6.08,,,6.23,,,6.41,,,,6.58
Chatham,,4.38,5.00,,,5.32,,,6.03,,6.12,,,6.27,,,6.45,,,,7.02
GLADSTONE,,,,4.27,,,5.04,,,,,5.39,,,,,,,6.15,,
Peapack,,,,4.31,,,5.08,,,,,5.43,,,5.59,,,,6.19,,
Far Hills,,,,4.35,,,5.12,,,,,5.47,,,6.04,,,,6.24,,
Bernardsville,,,,4.41,,,5.18,,,,,5.54,,,6.10,,,,6.30,,
Basking Ridge,,,,4.44,,,5.21,,,,,5.57,,,6.13,,,,6.33,,
Lyons,,,,4.47,,,5.24,,,,,6.00,,,6.17,,,,6.36,,
Millington,,,,4.50,,,5.27,,,,,6.03,,,6.21,,,,6.40,,
Stirling,,,,4.53,,,5.30,,,,,6.06,,,6.24,,,,6.43,,
Gillette,,,,4.55,,,5.32,,,,,6.09,,,6.27,,,,6.45,,
Berkeley Heights,,,,4.58,,,5.35,,,,,6.12,,,6.30,,,,6.48,,
Murray Hill,,,,5.03,,,5.39,,,,,6.17,,,6.35,,,,6.53,,
New Providence,,,,5.06,,,5.43,,,,,6.21,,,6.40,,,,6.57,,
Summit,,4.45,5.06,5.10,,5.37,5.48,,6.08,,6.18,6.25,,6.33,,,6.51,,7.02,,7.09
Short Hills,,4.49,,5.16,,5.42,5.52,,6.13,,,6.31,,,6.49,,,,7.06,,
Millburn,,4.52,,5.19,,5.45,5.55,,6.16,,,6.34,,,6.52,,,,7.09,,
Maplewood,,4.56,5.14,,,5.49,5.58,,6.20,,6.26,,,6.42,6.57,,,7.06,,,7.18
South Orange,,5.00,5.17,,,5.52,6.01,,6.24,,6.29,,,6.46,,,7.03,7.09,,,7.22
Mountain Station,,,5.19,,,,6.03,,,,6.32,,,,,,,7.12,,,
Highland Avenue,,,5.22,,,,6.05,,,,6.35,,,,,,,7.14,,,
Orange,,5.04,5.25,,,5.57,6.07,,6.28,,6.38,,,,,,7.07,7.17,,,
Brick Church,,5.08,5.27,,,6.00,6.09,,6.32,,6.41,,,6.52,,,7.11,7.20,,,
East Orange,,,5.30,,,,6.12,,,,6.44,,,,,,,7.22,,,
Newark Broad Street,5.09,5.13,5.35,5.31,5.42,6.06,6.17,6.21,6.37,6.41,6.49,6.46,6.54,6.58,,7.13,7.18,7.28,7.21,7.25,7.32
HOBOKEN,,,5.53,5.47,,,6.33,,,7.00,7.06,7.04,7.10,,,,,7.45,7.37,7.43,7.50
Secaucus Junction,,5.23,,,5.51,6.16,,6.31,,,,,,,,,,,,,
NEW YORK,5.30,5.36,,,6.04,6.29,,6.44,6.59,,,,,7.19,7.28,7.35,7.40,,,,
