,301,871,6209,6305,211,607,609,6307,6213,481,6607,6215,309,6611,409,6613,6219,6315,6617,411,6227,851
Secaucus Junction,,,,6.07,,,,6.50,7.00,,7.16,7.38,,7.49,,8.11,8.23,8.37,8.47,,9.18,
HOBOKEN,4.39,5.38,,,6.10,6.18,6.34,,,6.59,,,7.35,,7.54,,,,,8.54,,9.13
Newark Broad Street,4.57,5.56,6.10,6.16,6.26,6.36,6.50,7.01,7.09,7.16,7.26,7.47,7.51,7.58,8.12,8.20,8.32,8.47,8.57,9.11,9.27,9.31
East Orange,5.02,6.01,,,,6.41,6.56,,,7.21,,,,8.05,8.16,8.26,,,,9.15,,9.36
Brick Church,5.04,6.04,,6.23,,6.43,6.58,7.07,,7.23,7.32,,7.59,8.08,8.19,8.28,,,9.03,9.17,,9.38
Orange,5.07,6.06,,6.26,,6.46,7.01,7.10,,7.25,7.35,,8.02,8.11,8.22,8.31,,,9.06,9.19,,9.41
Highland Avenue,5.09,6.08,,,,6.49,7.03,,,7.27,,,,8.13,8.24,8.34,,,,9.21,,9.43
Mountain Station,5.11,6.10,,,,6.51,7.05,,,7.30,,,,8.16,8.27,8.36,,,,9.23,,9.45
South Orange,5.13,6.13,,6.31,,6.53,7.08,7.15,,7.32,7.40,,8.07,8.18,8.29,8.39,,8.57,9.11,9.25,,9.48
Maplewood,5.16,6.16,,6.34,,6.56,7.10,7.18,,7.35,7.43,,8.10,8.21,8.32,8.42,,9.01,9.14,9.28,,9.51
Millburn,5.20,6.19,,6.38,,7.00,7.14,7.22,,7.39,7.47,,8.14,8.25,8.36,8.46,,9.05,9.18,9.31,,9.54
Short Hills,5.23,6.22,,,,7.03,7.17,7.26,,7.41,7.50,,8.17,8.28,8.39,8.49,,9.09,,9.33,,9.58
Summit,5.28,6.28,,6.47,,7.08,7.23,7.32,,7.46,7.54,,8.23,8.33,8.44,8.55,,9.15,9.26,9.38,,10.03
New Providence,,,,,,,,,,7.50,,,,,8.48,,,,,9.42,,
Murray Hill,,,,,,,,,,7.55,,,,,8.52,,,,,9.45,,
Berkeley Heights,,,,,,,,,,8.01,,,,,8.56,,,,,9.50,,
Gillette,,,,,,,,,,8.04,,,,,8.59,,,,,9.52,,
Stirling,,,,,,,,,,8.10,,,,,9.03,,,,,9.55,,
Millington,,,,,,,,,,8.21,,,,,9.12,,,,,9.57,,
Lyons,,,,,,,,,,8.24,,,,,9.15,,,,,10.00,,
Basking Ridge,,,,,,,,,,8.27,,,,,9.18,,,,,10.03,,
Bernardsville,,,,,,,,,,8.31,,,,,9.21,,,,,10.08,,
Far Hills,,,,,,,,,,,,,,,9.28,,,,,10.18,,
Peapack,,,,,,,,,,,,,,,9.32,,,,,10.22,,
GLADSTONE,,,,,,,,,,,,,,,9.36,,,,,10.26,,
Chatham,,6.34,,,,7.14,7.29,,,,8.01,,,8.40,,9.01,,,9.33,,,10.10
Madison,,6.38,,,,7.18,7.33,,,,8.05,,,8.44,,9.05,,,9.37,,,10.14
Convent,,6.42,,,,7.22,7.37,,,,8.10,,,8.48,,9.10,,,9.42,,,10.18
Morristown,,6.46,,,,7.26,7.41,,,,8.14,,,8.52,,9.14,,,9.46,,,10.23
Morris Plains,,6.51,,,,7.30,7.46,,,,8.18,,,8.56,,9.19,,,9.51,,,10.29
Mount Tabor,,6.58,,,,7.37,,,,,8.25,,,,,,,,,,,10.36
Denville,,7.01,,,,7.40,7.54,,,,8.27,,,9.04,,9.27,,,9.59,,,10.39
DOVER,,7.08,,,,7.48,8.01,,,,8.35,,,9.13,,9.35,,,10.09,,,10.46
Mount Arlington,,7.17,,,,,,,,,,,,,,,,,,,,10.53
Lake Hopatcong,,7.22,,,,,,,,,,,,,,,,,,,,10.58
Netcong,,7.28,,,,,,,,,,,,,,,,,,,,11.05
Mount Olive,,7.33,,,,,,,,,,,,,,,,,,,,11.09
HACKETTSTOWN,,7.48,,,,,,,,,,,,,,,,,,,,11.28
