,626,480,6628,1074,6328,6222,6332,6632,418,6226,6636,420,6230,6640,422,6234,854,6644,424,6238,6648
Mount Olive,,,,8.35,,,,,,,,,,,,,12.09,,,,
Netcong,,,,8.40,,,,,,,,,,,,,12.13,,,,
Lake Hopatcong,,,,8.45,,,,,,,,,,,,,12.19,,,,
Mount Arlington,,,,8.49,,,,,,,,,,,,,12.23,,,,
DOVER,8.32,,9.06,8.58,,,,10.06,,,10.49,,,23.58,,,12.32,12.58,,,13.58
Denville,8.38,,9.13,9.04,,,,10.13,,,10.58,,,12.07,,,12.40,13.07,,,14.07
Mount Tabor,,,9.16,,,,,10.16,,,11.01,,,,,,12.42,,,,
Morris Plains,8.45,,9.22,,,,,10.22,,,11.07,,,12.14,,,12.49,13.14,,,14.14
Morristown,8.48,,9.27,,,,,10.27,,,11.11,,,12.18,,,12.52,13.18,,,14.18
Convent,8.52,,9.31,,,,,10.31,,,11.15,,,12.22,,,12.56,13.22,,,14.22
Madison,8.56,,9.35,,,,,10.35,,,11.19,,,12.26,,,13.00,13.26,,,14.26
Chatham,8.59,,9.39,,,,,10.39,,,11.23,,,12.30,,,13.04,13.30,,,14.30
GLADSTONE,,,,,,,,,9.56,,,10.56,,,23.56,,,,12.56,,
Peapack,,,,,,,,,10.00,,,11.00,,,12.00,,,,13.00,,
Far Hills,,,,,,,,,10.04,,,11.06,,,12.06,,,,13.06,,
Bernardsville,,8.55,,,,,,,10.11,,,11.12,,,12.12,,,,13.12,,
Basking Ridge,,8.58,,,,,,,10.14,,,11.15,,,12.15,,,,13.15,,
Lyons,,9.00,,,,,,,10.18,,,11.18,,,12.18,,,,13.18,,
Millington,,9.03,,,,,,,10.21,,,11.21,,,12.21,,,,13.21,,
Stirling,,9.07,,,,,,,10.24,,,11.23,,,12.23,,,,13.23,,
Gillette,,9.09,,,,,,,10.26,,,11.26,,,12.26,,,,13.26,,
Berkeley Heights,,9.12,,,,,,,10.29,,,11.29,,,12.29,,,,13.29,,
Murray Hill,,9.17,,,,,,,10.34,,,11.34,,,12.34,,,,13.34,,
New Providence,,9.21,,,,,,,10.38,,,11.37,,,12.38,,,,13.38,,
Summit,9.05,9.26,9.45,,,,,10.45,10.42,,11.28,11.42,,12.35,12.42,,13.10,13.35,13.42,,14.35
Short Hills,9.10,9.30,,,9.55,,10.32,,10.54,,11.33,11.47,,12.40,12.47,,13.15,13.40,13.47,,14.40
Millburn,9.12,9.33,,,9.58,,10.35,,10.57,,11.36,11.50,,12.43,12.50,,13.18,13.43,13.50,,14.43
Maplewood,9.16,9.36,,,10.02,,10.38,,11.00,,11.40,11.53,,12.47,12.54,,13.21,13.47,13.54,,14.47
South Orange,9.19,9.39,,,10.06,,10.42,,11.03,,11.43,11.56,,12.50,12.57,,13.25,13.50,13.57,,14.50
Mountain Station,,9.41,,,,,,,11.05,,,11.59,,,12.59,,13.27,,13.59,,
Highland Avenue,,9.44,,,,,,,11.08,,,12.01,,,13.01,,13.29,,14.01,,
Orange,9.23,9.46,,,10.10,,10.46,,11.10,,11.48,12.03,,12.55,13.03,,13.32,13.55,14.03,,14.55
Brick Church,9.25,9.48,,,10.14,,10.50,,11.12,,11.51,12.05,,12.58,13.06,,13.34,13.58,14.06,,14.58
East Orange,,9.50,,,,,,,11.14,,,12.07,,,13.08,,13.37,,14.08,,
Newark Broad Street,9.30,9.55,10.03,10.12,10.19,10.34,10.55,11.03,11.19,11.23,11.57,12.12,12.19,13.04,13.12,13.19,13.42,14.04,14.12,14.20,15.04
HOBOKEN,9.46,10.12,,10.30,,,,,11.36,,,12.29,,,13.29,,14.00,,14.29,,
Secaucus Junction,,,,,,10.44,11.05,11.15,,11.35,12.07,,12.31,13.14,,13.29,,14.14,,14.33,
NEW YORK,,,10.25,,10.40,10.56,11.19,11.28,,11.50,12.21,,12.44,13.27,,13.42,,14.27,,14.47,15.24
