,5134,5176,5438,5440,5742,5444,5746,5448,5150,5152,5154,5456,5458
Annandale,,12.23,,,15.08,,16.59,,,,,,
Lebanon,,12.27,,,15.12,,17.03,,,,,,
White House,,12.33,,,15.18,,17.08,,,,,,
North Branch,,12.40,,,15.25,,17.15,,,,,,
RARITAN,11.46,12.49,13.47,14.47,15.33,16.10,17.23,17.52,18.49,19.56,20.47,22.09,23.36
Somerville,11.49,12.52,13.50,14.50,15.36,16.13,17.26,17.55,18.52,19.59,20.50,22.12,23.39
Bridgewater,11.54,12.57,13.55,14.55,15.41,16.18,17.31,18.00,18.57,20.04,20.55,22.17,23.43
Bound Brook,11.57,13.00,13.58,14.58,15.45,16.21,17.34,18.03,19.00,20.07,20.58,22.20,23.46
Dunellen,12.03,13.06,14.04,15.04,15.51,16.27,17.40,18.08,19.05,20.12,21.03,22.25,23.52
Plainfield,12.09,13.11,14.10,15.09,15.56,16.32,17.44,18.13,19.10,20.17,21.08,22.30,23.57
Netherwood,12.12,13.14,14.13,15.13,15.59,16.35,17.47,18.16,19.13,20.20,21.11,22.33,12.00
Fanwood,12.15,13.17,14.16,15.16,16.03,16.38,17.50,18.20,19.17,20.24,21.15,22.37,12.03
Westfield,12.20,13.22,14.21,15.21,16.07,16.43,17.55,18.24,19.21,20.28,21.19,22.41,12.08
Garwood,12.23,13.25,14.24,15.25,,16.45,17.58,18.28,19.25,20.32,21.23,22.45,12.11
Cranford,12.26,13.28,14.28,15.28,16.12,16.49,18.01,18.31,19.28,20.35,21.26,22.48,12.14
Roselle Park,12.32,13.34,14.33,15.33,16.18,16.54,18.07,18.36,19.33,20.40,21.31,22.53,12.20
Union Station,12.36,13.37,14.37,15.37,16.22,16.58,18.11,18.40,19.37,20.44,21.35,22.57,12.24
NEWARK PENN STATION,12.47,13.49,14.48,15.49,16.33,17.10,18.25,18.52,19.51,20.55,21.47,23.08,12.38
Secaucus Junction,12.56,13.58,15.02,16.02,,17.24,18.43,19.17,20.00,21.04,21.57,23.22,12.58
NEW YORK,1.08,14.10,15.15,16.16,16.58,17.38,18.56,19.30,20.14,21.16,22.10,23.35,13.18
